name,short_label,long_label,ag_category_id
fruit / vegetable,legumes,légume,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,maquereaux vin blanc,maquereaux vin blanc,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,clementine feuille v,clémentine,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,jbn paris fume herta 4t.140g,jambon paris fume herta 4t.140g,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,banane vrac,banane vrac,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,"vol., flt plt jne,280g","vol , filet poulet jne,280g",999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,cuisse cnd confite,cuisse de canard,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,3x1/4 mais bonduel,maïs conserve,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,elvea tomate pelee c,elvea tomate pelee c,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,01 poireau poireau botte 1 kg,01 poireau poireau botte 1 kg,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,kiwi,kiwi,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,CLEMENTINE CORS,clémentine,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,ornement mode grand modele,ornement mode grand modele,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,panier fruitier,fruit,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,filet cabillaud main 100/200,filet de cabillaud,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,coriandfeuil,coriandfeuil,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,"poissons, f.de             3x 3.95 11","poissons, f.de             3x 3.95 11",999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,banane,banane,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,"1 car tomat 400gr         0,99",tomate pelée,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,"a 690 panais kg x vrac 2,69euro kg",panais,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,courgette,courgette,999b147a-e28b-11e8-a659-a860b6114cef
alcohol,75 gigondas rge ml,vin rouge,999af406-e28b-11e8-914c-a860b6114cef
meat / fish,LARDONS ALLUMETTES N,Lardon allumette,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,pomme bicolore vrac,pomme bicolore vrac,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,Orange Navelate (le kg),orange,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,RAISIN BLANC BIO 500G,raisin blanc,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,carotte,carotte,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,fleury blc dde dore,blanc de dinde,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,petits pois e.f,petits pois e.f,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,myrtille 125g,myrtille,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,bresaola 90g,bresaola,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,01 courge potiron tranche 750 g,courge,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,merguez de boeuf,merguez,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,oignon 1kg prix bas,oignon,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,allumettes nature 2x100g eco+,Lardon allumette,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,"2   2,68 eur",pomme de terre,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,4 tomat. florentina,4 tomat. florentina,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,crevette cuite 40/60,crevette,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,champignons fi/champignons fi,champignon blanc,999b147a-e28b-11e8-a659-a860b6114cef
alcohol,CIDRE FRAMBOISE GOELLERIES 75CL,cidre,999af406-e28b-11e8-914c-a860b6114cef
alcohol,"3401563309512 diaseptylo,5pcsol app cut125ml x 5,99","3401563309512 diaseptylo,5pcsol app cut125ml x 5,99",999af406-e28b-11e8-914c-a860b6114cef
